ID,NAME,Acanthocyclops vernalis,Aglaodiaptomus leptopus,Alona affinis,Alona costata,Alona guttata,Alona rectangula,Alonella nana,Bosmina coregoni,Bosmina hagmanni,Bosmina longirostris,Ceriodaphnia pulchella,Ceriodaphnia quadrangula,Ceriodaphnia reticulata,Chydorus sphaericus,Cyclops scutifer,Daphnia ambigua,Daphnia dentifera,Daphnia galeata,Daphnia longiremis,Daphnia middendorffiana,Daphnia pulex,Daphnia schodleri,Diacyclops thomasi,Diaphanosoma birgei,Epischura nevadensis,Eucyclops agilis,Eurycercus lamellatus,Hesperodiaptomus arcticus,Hesperodiaptomus franciscanus,Hesperodiaptomus kenai,Hesperodiaptomus shoshone,Heterocope septentrionalis,Holopedium gibberum,Leptodiaptomus angustilobus,Leptodiaptomus novamexicanus,Leptodiaptomus nudus,Leptodiaptomus sicilis,Leptodiaptomus signicauda,Leptodiaptomus tyrrelli,Leptodora kindtii,Macrocyclops albidus,Microcyclops varicans,Orthocyclops modestus,Polyphemus pediculus,Scapholeberis kingi,Sida crystallina,Simocephalus vetulus,Skistodiaptomus oregonensis,LATITUDE,LONGITUDE,FISH_STOCKING,RECENT_DATE,RECENT_REF,RESEARCH_GROUP,#_YEARS_SAMPLED
1,Kitlope,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,53.11147,-127.78257,0,1978,Rankin_et_al_1983,DFO_Pacific_Station,2
2,Skidegate,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.09703,-131.91766,0,1977,Rankin_et_al_1983b,DFO_Pacific_Station,1
3,Mathers,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.97883,-131.83873,0,1977,Rankin_et_al_1983,DFO_Pacific_Station,1
4,Mosquito,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.06281,-132.11806,0,1977,Rankin_et_al_1983,DFO_Pacific_Station,1
5,Awun,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.60275,-132.56531,0,1977,Rankin_et_al_1983,DFO_Pacific_Station,1
6,Ian,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,53.75882,-132.57,0,1977,Rankin_et_al_1983,DFO_Pacific_Station,1
7,Mercer,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,53.56432,-132.87885,0,1977,Rankin_et_al_1983,DFO_Pacific_Station,1
8,Eden,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.84232,-132.74852,0,1977,Rankin_et_al_1983,DFO_Pacific_Station,1
9,Yakoun,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.31021,-132.30612,0,1977,Rankin_et_al_1983,DFO_Pacific_Station,1
11,Gwendoline,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,49.32819,-122.57184,0,1976,Neil_1984,Neil,3
12,Loon,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,49.31008,-122.58861,0,1969,Neil_1978,Neil,2
13,Eunice,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,49.33506,-122.5602,0,1972,Neil_1978,Neil,4
14,Deer,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,49.23638,-122.97143,1,1978,Chapman_ et_al_1985,Northcote,2
17,Little Harrison,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.76497,-122.15778,1,1922,Foerster_1925,Foerster,1
18,Morris,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,49.31406,-121.87318,1,1922,Foerster_1925,Foerster,1
19,Hicks,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.34015,-121.69944,1,1922,Foerster_1925,Foerster,1
20,Harrison,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,49.55435,-121.86241,1,1923,Foerster_1925,Foerster,2
21,Trout,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,49.34894,-121.73909,1,1922,Foerster_1925,Foerster,1
22,Kawkawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.38719,-121.402,1,NA,Carl_1940,DFO_Pacific_Station,1
23,Nimpkish,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,50.38561,-126.96587,0,1978,Rankin_et_al_1983,DFO_Pacific_Station,2
24,Woss,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,50.1287,-126.60279,0,1978,Rankin_et_al_1983,DFO_Pacific_Station,1
25,Mohun,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,50.10603,-125.4972,1,1978,Rankin_et_al_1983,DFO_Pacific_Station,2
26,Kennedy,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,49.05218,-125.53424,0,1978,Rankin_et_al_1983,DFO_Pacific_Station,3
27,Comox,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,49.61876,-125.16576,1,1971,Kennedy_LeBrasseur_1972,DFO_Pacific_Station,1
28,Elsie,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,49.45447,-125.12075,1,1971,Kennedy_LeBrasseur_1972,DFO_Pacific_Station,1
29,Henderson,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,49.09736,-125.05161,1,1978,Rankin_et_al_1983,DFO_Pacific_Station,3
30,Deep (aka Oshinow),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,49.45112,-125.32987,0,1971,Kennedy_LeBrasseur_1972,DFO_Pacific_Station,1
31,Nahmint,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,49.16253,-125.02972,0,1971,Kennedy_LeBrasseur_1972,DFO_Pacific_Station,1
32,Sproat,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,49.26671,-125.03689,1,1977,Rankin_et_al_1983,DFO_Pacific_Station,2
33,Great Central,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,49.37013,-125.20496,1,1978,Rankin_et_al_1983,DFO_Pacific_Station,4
34,Prospect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,48.51355,-123.44165,1,NA,Carl_1940,DFO_Pacific_Station,1
35,Shawnigan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,48.64052,-123.64071,1,NA,Carl_1940,DFO_Pacific_Station,1
36,Cowichan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,48.88496,-124.30037,1,NA,Carl_1953,DFO_Pacific_Station,1
38,Hobiton,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,48.75607,-124.79988,0,1978,Rankin_et_al_1983,DFO_Pacific_Station,3
39,Heydon,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,50.53988,-125.67184,0,1977,Rankin_et_al_1983,DFO_Pacific_Station,1
40,Fulmore,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50.58277,-125.95347,0,1977,Rankin_et_al_1983,DFO_Pacific_Station,1
41,Phillips,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,50.59636,-125.34114,0,1977,Rankin_et_al_1983b,DFO_Pacific_Station,1
42,Sakinaw,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,49.68085,-124.00899,1,1977,Rankin_et_al_1983,DFO_Pacific_Station,1
43,Simpson,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,53.61878,-129.54965,0,1978,Rankin_Ashton_1980,DFO_Pacific_Station,1
