lake,period,year,date,abundance,Bos.and.Eubos,all.ceriodaphnia,all.chydorus,all.alona,D.longiremis,D.thorata,D.longispina.hyal.micr,D.pulex,D.midderdorffiana,D.gal.mendote,D.gal.gal,D.ambigua,D.retrocurva,D.rosea,D.schoedleri,Daphnia.magna,H.gibberum,L.kindii,P.pediculus,Diaphanosoma,C.scutifer,cyclops.sp,S.calanoides,H.septentrionalis,E.nevadensis,Diacyclops.thomasi,all.diaptomus
Adams,historical,1940,15/07/1940,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Adams,historical,1986,unknown,no,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Adams,contemporary,2011,28/07/2011,yes,4.06,0,0.13,0,7.722513089,0,0,8.507853403,0,0,0,0,0,0,0,0,0,0.261780105,0,0.39,0,0,0,0,0,28.79581152,50.13
Alleyne,historical,1951,01/08/1951,yes,0.5,0.5,0,0,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,11,0,0,0,0,0
Alleyne,contemporary,2011,29/07/2011,yes,38.99,3.41,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.08,0
Beaver,historical,1939,15/07/1929,no,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
Beaver,contemporary,2011,09/07/2011,yes,1.97,0.18,0,0,0,0,8.602150538,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,27.42
Becker,historical,1957,15/07/1957,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Becker,contemporary,2011,08/07/2011,yes,1.31,83.91,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,0,0,0,0,0,10.01642036,0
Braeburn,historical,1970,28/07/1970,yes,18,0,0,0,28.1,0,0,0,0.1,9.6,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,3.2
Braeburn,contemporary,2011,14/07/2011,yes,0,0,0,0,0,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,28.89,0,0,5.55,0,0,64.24
Cobb,historical,1958,01/08/1958,yes,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0.01,0,3,0,0,0,0,0,18,33
Cobb,contemporary,2011,10/07/2011,yes,0.14,0,6.63,0,0,0,0,0,0,0,0,0,5.077574048,0,0,0,0,0,0,0,0,0,0,0,0,44.99294781,25.11
Corbett,historical,1967,15/07/1967,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Corbett,contemporary,2011,29/07/2011,yes,0.27,0.14,0.14,0,0,0,0,62.97814208,0,0,0,0,0,0,0,0,0,0,0.409836066,0.41,0,0,0,0,0,28.68852459,6.97
Dease,historical,1947,15/07/1947,no,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dease,contemporary,2011,11/07/2011,yes,1.31,0.26,0,0,0,0,0,0.131061599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.88728702,76.41
Dezadeash,historical,1975,26/07/1975,yes,14.2,0,1.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,47.4,0.1,0,1.7,0,0,36.2
Dezadeash,historical,1970,08/11/1970,yes,2.2,0,0,0,0,0,26.4,0,0,0,0,0,0,0,0,0,0,0,0,0,47.8,0,0,0,0,0,23.6
Dezadeash,contemporary,2011,13/07/2011,yes,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,66.9,0,0,0,0,0,27.62
Fox,historical,1975,01/09/1975,yes,1.8,0,0,0,0.3,0,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,73.95,0,0,0,0,0,20.5
Fox,historical,1975,01/08/1975,yes,0.65,0,0,0,0.15,0,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,67.05,0,0,0,0,0,27.55
Fox,historical,1975,22/06/1975,yes,0.1,0,0,0,0.1,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,54.7,0.05,0,0,0,0,45
Fox,contemporary,2011,17/07/2011,yes,1.31,0,0,0,0.52,0,3.81,0,3.81,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,57.22
Frenchman,historical,1975,21/08/1975,yes,0,0,0,0,1.2,0,0,0,1.45,0,9.1,0,0,0,0,0,0,0,0,0,77.6,0,0,0.1,0,0,10.65
Frenchman,contemporary,2011,17/07/2011,yes,0.17,0,0,0,0.94,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,52.14,0,0,0,0,0,46.5
Harrison,historical,1925,15/07/1925,no,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Harrison,historical,1999,uknown,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Harrison,contemporary,2011,29/07/2011,yes,3.66,0,0,0,0,0,0,2.872062663,0,0,0,0,0,0,0,0,0.783289817,0,0,0,0,0,0,0,0,11.74934726,80.42
Heffley,historical,1950,01/08/1950,yes,0,0.2,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0.01,0,1,0,0,0,0,0.2,86.6,4
