lake,Bos.and.Eubos,Ceriodaphnia.sp,Ceriodaphnia.quadrangui,Ceriodaphnia.lacustri,chydorus.sp,alona.sp,Daphnia.sp,D.longiremis,D.thorata,D.longispina.hyal.micr,D.pulex,D.midderdorffiana,D.gal.mendote,D.gal.gal,D.ambigua,D.retrocurva,D.rosea,D.schoedleri,H.gibberum,L.kindii,P.pediculus,Diaphasoma.leuchtenb,C.scutifer,cyclops.phaleratus,Cyclops.bicuspidatus,cyclops.sp,Orthocyclops.modestus,unknowncyclops.3setae,C.capillatus,S.calanoides,H.septentrionalis,unknown.2setae,E.nevadensis,Diacyclops.thomasi,diaptomus.sp,Diaptomus.sic.prib,Diaptomus.dentricornis,Diaptomus.ashlandi,Diaptomus.tyrrelli,Diaptomus.leptopus,Diaptomus.nudus,Diaptomus.eiseni,Diaptomus.nevadensis,Anthocyclops.vernalis,Ilyocryptus.acutifornis,Captocerus.rectirostris
Adams,4.057591623,0,0,0,0.130890052,0,0,7.722513089,0,0,8.507853403,0,0,0,0,0,0,0,0,0.261780105,0,0.392670157,0,0,0,0,0,0,0,0,0,0,0,28.79581152,50.13089005,0,0,0,0,0,0,0,0,0,0,0
Alleyne,38.98601399,0,3.409090909,0,0,0,0,0,0,0,0.524475524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.08041958,0,0,0,0,0,0,0,0,0,0,0,0
Beaver,1.971326165,0.17921147,0,0,0,0,0,0,0,8.602150538,0,0,0,0,0,0,0,0,0,0,0,0.358422939,0,61.46953405,0,0,0,0,0,0,0,0,0,0,0,0,0,27.41935484,0,0,0,0,0,0,0,0
Becker,1.3136289,83.90804598,0,0,3.448275862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3136289,0,0,0,0,0,0,0,0,0,0,0,10.01642036,0,0,0,0,0,0,0,0,0,0,0,0
Braeburn,0,0,0,0,0,0,0,0,0,0,0,1.324503311,0,0,0,0,0,0,0,0,0,0,28.89072848,0,0,0,0,0,0,0,5.546357616,0,0,0,0,64.2384106,0,0,0,0,0,0,0,0,0,0
Cobb,0.141043724,0,0,0,6.629055007,0,18.05359661,0,0,0,0,0,0,0,0,5.077574048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.99294781,0,0,0,0,0,0,25.10578279,0,0,0,0,0
Corbett,0.273224044,0.136612022,0,0,0.136612022,0,0,0,0,0,62.97814208,0,0,0,0,0,0,0,0,0,0.409836066,0.409836066,0,0,0,0,0,0,0,0,0,0,0,28.68852459,0,0,0,0,0,6.967213115,0,0,0,0,0,0
Dease,1.31061599,0.262123198,0,0,0,0,0,0,0,0,0.131061599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.88728702,76.40891219,0,0,0,0,0,0,0,0,0,0,0
Dezadeash,4.631217839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857632933,0,0,0,66.89536878,0,0,0,0,0,0,0,0,0,0,0,0,27.61578045,0,0,0,0,0,0,0,0,0,0
Fox,1.312335958,0,0,0,0,0,0,0.524934383,0,3.805774278,0,3.805774278,0,0,0,0,0,0,0,0,0,0,33.33333333,0,0,0,0,0,0,0,0,0,0,0,0,57.21784777,0,0,0,0,0,0,0,0,0,0
Frenchman,0.170940171,0,0,0,0,0,0,0.94017094,0,0,0,0.256410256,0,0,0,0,0,0,0,0,0,0,52.13675214,0,0,0,0,0,0,0,0,0,0,0,0,46.4957265,0,0,0,0,0,0,0,0,0,0
Harrison,3.65535248,0,0,0,0,0.261096606,0,0,0,0,2.872062663,0,0,0,0,0,0,0,0.783289817,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11.74934726,0,0,0,80.41775457,0,0,0,0,0,0,0.261096606,0
Heffley,0,0,0,0,0,0,0,2.884615385,2.724358974,0,31.25,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,2.083333333,0,0,0,0,60.74,0,0,0,0,0,0,0
Hicks,28.21782178,0,0,0,0,0,0,0,0,0,17.82178218,0,0,0,0,0,0,0,53.13531353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.825082508,0,0,0,0,0,0,0,0,0,0,0,0
Kathlyn,0,0,0,0,0,0,0,3.321678322,31.64335664,0,0,0,18.18181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.31468531,33.56643357,0,0,2.972027972,0,0,0,0,0,0,0,0,0
Kawkawa,9.197324415,0,0,0,0.16722408,0,0,0,0,0,22.74247492,0,0,0,0,0,0,0,0.16722408,0,0,0,0,0,0,0,0,0,0,0,0,0,1.839464883,51.17056856,0.334448161,0,0,0,0,0,0,0,0,14.21404682,0,0.16722408
Kentucky,33.33333333,0,20.25862069,0,0,0,0,4.166666667,0.143678161,0,5.747126437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.60344828,0,0,0,0,5.747126437,0,0,0,0,0,0,0
Kluane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.87211368,0,0,0,0,0,0,2.664298401,0,0,0,0,0,53.46358792,0,0,0,0,0,0,0,0,0,0
Lakelse,2.535211268,0,0,0,0,0.14084507,0,0,0,0,0,0,0,0,18.02816901,0,0,0,0.001,0,0,0.422535211,25.77464789,0,0,0,0,0,0,0,0,0,5.492957746,47.04225352,0,0.563380282,0,0,0,0,0,0,0,0,0,0
Little.Atlin,1.463414634,0,0,0,0,0,0,35.6097561,0,0.325203252,0,0,0,45.20325203,0,0,0,0,0,0,0,0,7.967479675,0,0,0,0,0,0,0,0,0,0,0,0,9.430894309,0,0,0,0,0,0,0,0,0,0
Little.Salmon,0,0,0,0,0,0,0,0.097087379,0,0,0,0,0,0.388349515,0,0,0,0,0,0,0,0,49.41747573,0,0,0,0,0,0,0,0,0,0,0,50.09708738,0,0,0,0,0,0,0,0,0,0,0
Maxan,0,0,0,0,0,0,0,0.449775112,0,0,0.749625187,0,10.34482759,0,0,0,0,0,0,0,0,0,14.54272864,0,0,0,0,0,0,0,0,0.299850075,0.899550225,0,0,0,72.71364318,0,0,0,0,0,0,0,0,0
McConnel,0.117096019,0,0,0,0,0.117096019,0,0,0,0,46.37002342,0,0,0,0,0,0,0,0,0,9.484777518,0,0,0,0,0,0,0,0,0,0,0,0.117096019,35.24590164,0,0,0,0,0,0,0,8.548009368,0,0,0,0
Meziadin,31.18081181,0,0,0,0,0.19047619,0,0,0,4.243542435,0,0,0,0,0,0,0,0,0,0,0,0,0.553505535,0,0,0,0,0,0,0,0,0,0,63.46863469,0,0,0,0,0.36900369,0,0,0,0,0,0,0
Minto,1.420454545,0,0,0,0,0,0,0,0,0,0,0,26.13636364,0,0,0,0,0,0,0,0,0,59.80113636,0,0,0,0,0,0,0,0,0,0,0,0,12.64204545,0,0,0,0,0,0,0,0,0,0
Ness,31.34057971,0.18115942,0,0,0,0,0,38.4057971,0,0,1.630434783,0,3.079710145,0,0,0,0,0,0,0,0,0,22.2826087,0,0,0,0,0,0,0,0,0,0.905797101,0,0.543478261,1.630434783,0,0,0,0,0,0,0,0,0,0
Nicola,0,0,0,0,0,0,0,0,30.22900763,0,0,0,0,0,0,0,0,0,0,0.610687023,0,13.58778626,0,0,0,0,0,0,0,0,0,0,0,0,55.57251908,0,0,0,0,0,0,0,0,0,0,0
Paul,9.497206704,0,0,0,0,0,0,5.30726257,0,0,36.59217877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.75977654,0,0,0,0,1.675977654,0,0,0,0,5.167597765,0,0
Pemberton,0,0,1.033591731,0,0,0,0,0,0,0,19.12144703,0,0,0,0,0,6.33074935,0,0,0,0,0,0,0,0,0,8.139534884,0,0,0,0,0,0,1.162790698,0,0,0,0,2.583979328,4.134366925,0,0,0,57.49354005,0,0
Pillar,0,0,0,3.28407225,0,0,0,0,0,0,50.41050903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.73399015,0,0,0,0,0,0.16,1.806239737,0,0,0,0,0,26.60098522,0,0,0,0,0,0
Pinantin,0,0,48.7,0,0,0,0,0,0,20.9,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,3.8,0,4.9,0,0
Pine,4.023845007,0,0,0,0,0,0,1.490312966,0,5.66318927,0,3.278688525,0,0,0,0,0,0,0,0,0.149031297,0,54.69448584,0,0,0,0,0,0.149031297,0.894187779,0,0,0,0,0,29.65722802,0,0,0,0,0,0,0,0,0,0
Quiet,3.576537911,0,0,0,0,0,0,25.89413448,0,25.89413448,0,0,0,0,0,0,0,0,0,0,0,0,25.46494993,0,0,0,0,0,0,0,0,0,0,0,0,19.1702432,0,0,0,0,0,0,0,0,0,0
Seymour,0,0.27173913,0,0,0,0,0,0,8.967391304,0,0,0,42.93478261,0,0,0,0,0,0,0,0,0,23.36956522,0,0,0,0,0,0,0,0,19.02173913,0,0,0,0,5.434782609,0,0,0,0,0,0,0,0,0
Shuswap,1.265822785,0,0,0,0,0,0,0,0,9.423347398,0,0,0,0,0,0,0,0,0,0,0,0.562587904,0,0,25.3164557,0,0,0,0,0,0,0,2.672292546,0,0,0,0,60.75949367,0,0,0,0,0,0,0,0
Sullivan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.27672956,1.635220126,0,0,36.22641509,0,0,0,0,0,0,0,0,0,0,0,0,0,25.28301887,0,0,4.402515723,0,0,0,0,0,0.377358491,7.798742138,0,0
Summit,1.410437236,0,0,0,0,0,0,0,0,17.63046544,1.551480959,0,0,0,0,0,0,0,0.141043724,0,0,0,0,0,0,0,0,9.026798307,0,0,0,0,0,9.167842031,60.78984485,0,0,0,0,0,0,0,0,0.282087447,0,0
