period,lake,year,abundance,Bos.and.Eubos,Ceriodaphnia.quadrangui,Ceriodaphnia.lacustri,Ceriodaphnia.reticulata,Chy.sphaericus,D.longiremis,Daphnia.thorata,Daphnia.longispina.hyal.micr,Daphnia.pulex,Daphnia.midderdorffiana,Daphnia.gal.mendote,Daphnia.gal.gal,Daphnia.retrocurva,Daphnia.rosea,Daphnia.schoedleri,Leptodora.kindii,Polyphemus.pediculus,Diaphasoma.leuchtenb,Diaphanosoma.brachyurum,C.scutifer,Orthocyclops.modestus,C.capillatus,S.calanoides,H.septentrionalis,L.quadrangularis,E.nevadensis,Diacyclops.thomasi,diaptomus.sp,Diaptomus.sic.prib,Diaptomus.dentricornis,Diaptomus.ashlandi,Diaptomus.tyrrelli,Diaptomus.leptopus,Diaptomus.nudus,Diaptomus.eiseni,Eucyclops.agilis,Anthocyclops.vernalis
historical,Alleyne,1951,yes,0.5,0.5,73,0,0,0,0,0,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
historical,Braeburn,1970,yes,18,0,0,0,0,28.1,0,0,0,0.1,9.6,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0
historical,Cobb,1958,yes,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0.01,0,3,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,33,0,0,0
historical,Dezadeash,1970,yes,2.2,0,0,0,0,0,0,26.4,0,0,0,0,0,0,0,0,0,0,0,47.8,0,0,0,0,0,0,0,0,23.6,0,0,0,0,0,0,0,0
historical,Fox,1975,yes,0.85,0,0,0,0,0.183333333,0,2.75,0,0,0,0,0,0,0,0,0,0,0,65.23333333,0,0.016666667,0,0,0.016666667,0,0,0,31.01666667,0,0,0,0,0,0,0,0
historical,Frenchman,1975,yes,0,0,0,0,0,1.2,0,0,0,1.45,0,9.1,0,0,0,0,0,0,0,77.6,0,0,0,0.1,0,0,0,0,10.65,0,0,0,0,0,0,0,0
historical,Heffley,1950,yes,0,0.2,0,0,0,0,7,0,1,0,0,0,0,0,0,0.01,0,1,0,0,0,0,0,0,0,0.2,86.6,0,0,0,0,4,0,0,0,0,0
historical,Kathlyn,1958,yes,0,0,0,0,0,5,10.9,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,63,0,0,4,0,0,0,0,0,0,0
historical,Kentucky,1951,yes,0,0,0,0.01,0,33,0,0,11,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,44.9,0,0,0,0,11,0.1,0,0,0,0
historical,Kluane,1970,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0
historical,Lakelse,1975,yes,4.599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.512,0,0,0,0,0,0,0,0.315,43.974,12.6,0,0,0,0,0,0,0,0,0
historical,Little.Atlin,1970,yes,2.9,0,0,0,0,10.8,0,0,0,0,0,2.5,0,0,0,0,0,0,0,63.8,0,0,0,0.1,0,0,0,0,20.1,0,0,0,0,0,0,0,0
historical,Little.Salmon,1975,yes,0.1,0,0,0,0.1,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,98.7,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0
historical,Maxan,1961,yes,0,0,0,0,0,16.2,0,0,0.4,0,6,0,0,0,0,1.8,0,0,0,50,0,0,0,0,0,0.4,0,0,0,0.2,25,0,0,0,0,0,0
historical,McConnel,1950,yes,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0
historical,Meziadin,1974,yes,0,0,0,0,0,0,0,53.9,0,0,0,0,0,0,0,0,0,0,0,44.5,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0
historical,Minto,1970,yes,0,0,0,0,0,0,0,0,0,0,19.1,0,0,0,0,0.1,0,0,0,59.9,0,0,0,0,0,0,0,0,21.1,0,0,0,0,0,0,0,0
historical,Ness,1952,yes,0.3,0,0,0,0,6,0,0,5,0,16.1,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0
historical,Paul,1950,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,43,0,0,1,0,0.01
historical,Pemberton,1950,yes,8,36,0,0,0,0,0,0,24,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,4
historical,Pillar,1948,yes,0,0,2,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0
historical,Pinantin,1950,yes,3,45.5,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.5,0,0,0,3
historical,Pine,1975,yes,0.6,0,0,0,0,0.2,0,0.85,0,4.25,0,0,0,0,0,0,0.05,0,0,76.7,0,0,0.2,0,0,0,0,0,17.45,0,0,0,0,0,0,0,0
historical,Quiet,1970,yes,0,0,0,0,0,22.3,0,15.1,0,0,0,0,0,0,0,0,0,0,0,27.7,0,0,0,0,0,0,0,0,34.9,0,0,0,0,0,0,0,0
historical,Seymour,1958,yes,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
historical,Sullivan,1950,yes,0,0,0,0.01,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,81,1,0,1,0,0
historical,Tatchun,1970,yes,3.4,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0
historical,Walloper,1950,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,14,0,0,0,0
historical,Watson,1970,yes,5.3,0,0,0,0,1.2,0,0,0.1,0.1,0,9.9,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0
historical,Wheeler,1975,yes,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.3,0,0,0,0.25,0,0,0,0,42.25,0,0,0,0,0,0,0,0
historical,Wood,1971,yes,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.01,0,1.9,0,0,0,0,0,0,0,0,55.6,0,0,0,42.2,0,0,0,0,0,0
