Lake name,Contemporary sampling date,Historical sampling date,Latitude(°),Longitude (°),Lake size (km2),Max depth (m),Elevation (m),pH
Adams,29-Jul-11,1986,51.3,-119.5,137,464,404,8.22
Alleyne,29-Jul-11,01-Aug-51,49.9,-120.6,0.55,36,1016,8.85
Beaver,09-Jul-11,15-Jul-29,52.5,-121.9,2.55,23,1201,8.28
Becker,08-Jul-11,15-Jul-57,51.8,-121.1,0.1,11,879,8.64
Braeburn,15-Jul-11,28-Jul-70,61.5,-135.8,6,37,760,8.65
Cobb,10-Jul-11,01-Aug-58,54,-123.5,2,10,783,8.16
Corbett,29-Jul-11,15-Jul-67,50,-120.6,2.9,20,1065,8.52
Dease,11-Jul-11,15-Jul-47,58.5,-130,16.22,142,753,8.4
Dezadeash,14-Jul-11,08-Nov-70,60.5,-137,77.2,8,702,8.57
Fox,15-Jul-11,22-Jun-75,60.5,-137,15.9,75,835,8.65
Frenchman,17-Jul-11,21-Aug-75,62.2,-135.8,14.1,39,535,8.72
Harrison,29-Jul-11,1999,50.1,-121.5,218,270,41,8.44
Heffley,28-Jul-11,01-Aug-50,50.8,-120.1,2.23,27,993,9
Hicks,05-Jul-11,15-Jul-25,49.3,-121.7,1.04,55,230,8.69
Kathlyn,10-Jul-11,01-Aug-58,54.8,-127.2,1.7,10,506,8.32
Kawkawa,29-Jul-11,17-Jul-40,49.4,-121.4,0.77,14,76,8.44
Kentucky,29-Jul-11,01-Aug-51,49.9,-120.6,0.36,40,1029,8.66
Kluane,18-Jul-11,12-Aug-70,61.3,-138.7,409.5,82,781,8.77
Lakelse,21-Jul-11,01-Aug-75,54.4,-128.6,20,20,72,8.1
Little Atlin,19-Jul-11,30-Jul-70,60.3,-134,39.8,14,686,8.92
Little Salmon,16-Jul-11,22-Aug-75,62.2,-134.7,62.6,96,608,8.7
Maxan,23-Jul-11,01-Jul-61,54.3,-126.1,24,24,762,7.95
McConnel,29-Jul-11,01-Aug-50,50.5,-120.5,0.39,24,1313,8.27
Meziadin,11-Jul-11,01-Jul-74,56.1,-129.3,31.1,133,246,8.47
Minto,17-Jul-11,21-Jul-70,63.7,-136.2,4.3,33,685,8.5
Ness,09-Jul-11,01-Aug-52,54,-123.1,2.1,18,781,8.6
Nicola,29-Jul-11,15-Jul-66,50.2,-120.5,62.15,55,630,8.85
Paul,27-Jul-11,01-Aug-50,50.7,-120.1,3.9,55,769,8.83
Pemberton,27-Jul-11,01-Aug-50,50.8,-119.9,0.12,14,1239,8.84
Pillar,06-Jul-11,01-Aug-48,50.6,-119.6,0.43,16,953,8.27
Pinantin,27-Jul-11,01-Aug-50,50.7,-122.6,0.68,19,878,8.78
Pine,18-Jul-11,31-Aug-75,60.1,-130.9,4.3,27,685,8.72
Quiet,19-Jul-11,02-Aug-70,61.1,-133.1,53,100,802,8.83
Seymour,22-Jul-11,01-Aug-58,54.7,-127.2,0.7,9,523,8.29
Shuswap,29-Jul-11,15-Jul-57,50.9,-119.3,309.6,267,348,8.84
Sullivan,28-Jul-11,01-Aug-50,51,-120.1,86.71,24,1166,8.77
Summit,27-Jul-11,1964,54.3,-122.6,13.84,16,721,7.67
Tatchun,16-Jul-11,25-Jul-70,62.3,-136.2,6.6,53,535,8.39
Walloper,26-Jul-11,01-Aug-50,50.5,-120.5,0.36,8,1324,8.52
Watson,12-Jul-11,07-Aug-70,60.1,-128.8,14.3,20,680,8.75
Wheeler,12-Jul-11,19-Aug-75,59.7,-129.2,2.8,30,663,8.55
White,07-Jul-11,15-Jul-69,50.9,-119.3,5.61,40,470,8.69
Wood,06-Jul-11,01-Aug-71,50.1,-119.4,0.27,10,391,8.9
