gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2311245802	ad43e954-dd79-4986-ae34-9ccdbd8bf568	JN233925	Animalia	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	Daphnia pulicaria		SPECIES	Daphnia pulicaria Forbes, 1893	Daphnia pulicaria		CA	Canada:Manitoba, Churchill, 16 km E Churchill, Bird Cove, Rock Bluff A, rock bluff pond		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	58.77	-93.85							2008-07-09T00:00:00	9	7	2008	2234847	2234847	PRESERVED_SPECIMEN					Sarah Adamowicz		CC_BY_4_0		C.Carr, S.McCubbin, J.Sones			2020-09-01T18:10:22.319Z		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
2311184818	ad43e954-dd79-4986-ae34-9ccdbd8bf568	KC502301	Animalia	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	Daphnia middendorffiana		SPECIES	Daphnia middendorffiana Fischer, 1851	Daphnia middendorffiana		CA	Canada:Manitoba, Churchill, 10 km E of Churchill, Launch Rd Bluffs, Large, close to Hudson, Pond (#3)		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	58.765	-94.013							2012-07-15T00:00:00	15	7	2012	2234809	2234809	PRESERVED_SPECIMEN							CC_BY_4_0		S.C.James			2020-09-01T18:10:26.807Z		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
2311108504	ad43e954-dd79-4986-ae34-9ccdbd8bf568	JN233924	Animalia	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	Daphnia magna		SPECIES	Daphnia magna Straus, 1820	Daphnia magna		CA	Canada:Manitoba, Churchill, 16 km E Churchill, Bird Cove, Rock Bluff A, pond #3		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	58.77	-93.85							2008-07-09T00:00:00	9	7	2008	2234822	2234822	PRESERVED_SPECIMEN					Sarah Adamowicz		CC_BY_4_0		S.Adamowicz			2020-09-01T18:10:32.027Z		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
2311005964	ad43e954-dd79-4986-ae34-9ccdbd8bf568	HQ966507	Animalia	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	Daphnia ambigua		SPECIES	Daphnia ambigua Scourfield, 1947	Daphnia ambigua		CA	Canada		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	45.3	-78.77							2009-05-20T00:00:00	20	5	2009	2234836	2234836	PRESERVED_SPECIMEN							CC_BY_4_0		N. Jeffery			2020-09-01T18:10:35.228Z		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
2310978973	ad43e954-dd79-4986-ae34-9ccdbd8bf568	MG313073	Animalia	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	Daphnia magna		SPECIES	Daphnia magna Straus, 1820	Daphnia magna		CA	Canada:Manitoba, Churchill, 16 km SW Churchill, Churchill River Pump House, Still Inlet to Churchill River		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	58.63	-94.23							2010-08-04T00:00:00	4	8	2010	2234822	2234822	PRESERVED_SPECIMEN					Angela Telfer		CC_BY_4_0		J. Bowman			2020-09-01T18:10:22.255Z		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
2310753548	ad43e954-dd79-4986-ae34-9ccdbd8bf568	HQ966508	Animalia	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	Daphnia ambigua		SPECIES	Daphnia ambigua Scourfield, 1947	Daphnia ambigua		CA	Canada		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	45.3	-78.77							2009-05-20T00:00:00	20	5	2009	2234836	2234836	PRESERVED_SPECIMEN							CC_BY_4_0		N. Jeffery			2020-09-01T18:10:31.865Z		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
2310675045	ad43e954-dd79-4986-ae34-9ccdbd8bf568	HM400739	Animalia	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	Daphnia middendorffiana		SPECIES	Daphnia tenebrosa Sars, 1899	Daphnia tenebrosa		CA	Canada:Manitoba		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	58.77	-93.85							2009-07-28T00:00:00	28	7	2009	2234829	2234809	PRESERVED_SPECIMEN							CC_BY_4_0		S.Schott			2020-09-01T18:10:25.856Z		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
2310591364	ad43e954-dd79-4986-ae34-9ccdbd8bf568	MG449362	Animalia	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	Daphnia dentifera		SPECIES	Daphnia dentifera Forbes, 1893	Daphnia dentifera		CA	Canada:Ontario, Crawford lake		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	43.47	-79.95							2016-06-03T00:00:00	3	6	2016	8264455	8264455	PRESERVED_SPECIMEN					Manuel Elias-Gutierrez		CC_BY_4_0		Manuel Elias-Gutierrez, Martha Valdez-Moreno & Kate Perez			2020-09-01T18:10:23.156Z		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
2310443177	ad43e954-dd79-4986-ae34-9ccdbd8bf568	MG316107	Animalia	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	Daphnia middendorffiana		SPECIES	Daphnia tenebrosa Sars, 1899	Daphnia tenebrosa		CA	Canada:Manitoba, Churchill, 16 km SW Churchill, Churchill River Pump House, Low tide		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	58.63	-94.23							2010-07-27T00:00:00	27	7	2010	2234829	2234809	PRESERVED_SPECIMEN					Angela Telfer		CC_BY_4_0		Kara Layton			2020-09-01T18:10:44.533Z		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
2310180339	ad43e954-dd79-4986-ae34-9ccdbd8bf568	MF746232	Animalia	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	Daphnia ambigua		SPECIES	Daphnia ambigua Scourfield, 1947	Daphnia ambigua		CA	Canada:Ontario, Point Pelee NP, 15km SE of Leamington, Marsh Boardwalk Trail		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	41.97	-82.53							2010-06-22T00:00:00	22	6	2010	2234836	2234836	PRESERVED_SPECIMEN					Angela Telfer		CC_BY_4_0		T.F.Mitterboeck, C.Vandermeer, V.Junea, C.Sobel			2020-09-01T18:10:20.476Z		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
